video_id,title,published_at,view_count,like_count,comment_count,duration,fetched_at
1GEt2H0y4xA,Emojis podem VIRAR uma NOVA língua?,2021-06-30T19:57:13Z,158989,25470,1655,PT10M15S,2025-11-09T02:45:17.390345
89r6Z_ZRJRI,A Evolução do Pixel,2022-08-31T15:20:31Z,158102,23072,427,PT9M52S,2025-11-09T02:45:16.413229
3DDjkDOQGEQ,Você Consegue Ouvir a Diferença Entre Água Quente e Água Fria?,2017-10-01T22:58:52Z,155272,23477,1146,PT4M47S,2025-11-09T02:45:18.666157
sbusfhqi0ZU,Esse é o FUTURO da AGRICULTURA?,2022-11-10T14:00:28Z,155134,23505,816,PT9M34S,2025-11-09T02:45:16.197471
2eJKj-kL1j8,Como Nós CRIAMOS Raças de Cachorros,2022-05-30T20:00:01Z,151886,20215,468,PT13M9S,2025-11-09T02:45:16.976024
9-uPQVQhynk,E se você caísse do espaço?,2013-08-10T21:44:55Z,151540,12358,292,PT3M41S,2025-11-09T02:45:19.256328
W2v8e6xS-LE,E se o Pouso na Lua Tivesse Dado Errado?,2018-09-21T16:37:56Z,150011,21826,1027,PT6M24S,2025-11-09T02:45:18.665967
D88jwmIyIbo,Massa e Peso - Um Erro Comum Sobre a Gravidade,2014-05-04T04:06:35Z,149528,11855,454,PT3M7S,2025-11-09T02:45:19.161669
1zUQq-ADmM4,Como uma Tela OLED Funciona?,2022-09-02T15:40:12Z,149134,18507,412,PT10M3S,2025-11-09T02:45:16.413218
QYw4yOIQcPA,pra que serve um SUPERCOMPUTADOR?,2023-03-18T20:00:07Z,145898,23046,123,PT1M,2025-11-09T02:45:15.680643
gVQf3C4xIeU,Por que você VAI CLICAR nesse vídeo?,2023-01-27T14:00:21Z,143962,29833,972,PT6M2S,2025-11-09T02:45:15.906952
pS3V6-EgCwE,O Dilema Ético dos Carros Autônomos,2016-03-24T13:35:56Z,142215,20388,1075,PT7M5S,2025-11-09T02:45:18.666329
copytsS4BgE,Como funcionam as Flashbangs?,2015-06-25T12:59:21Z,141741,11524,347,PT3M52S,2025-11-09T02:45:19.161560
Etdavqcn-t4,por que TODO computador é QUÂNTICO?,2023-02-03T14:00:11Z,133462,16231,328,PT7M45S,2025-11-09T02:45:15.906911
7UlwV5m219U,Sinapse #31 - UM ANO DE PODCAST! (Episódio ao Vivo),2020-02-13T00:53:19Z,132829,10316,547,PT1H19M19S,2025-11-09T02:45:18.114534
Q30gINjb_Dc,Você viveria em uma REALIDADE VIRTUAL? #shorts,2022-10-24T21:00:08Z,125576,20388,459,PT55S,2025-11-09T02:45:16.197552
oBYMswOKvN4,Qual é o lugar mais frio do Universo?,2013-10-07T21:38:41Z,123883,8581,150,PT2M9S,2025-11-09T02:45:19.161732
GmV3DgDp5UY,VOCÊ PODE MORRER DE SONO?,2014-04-27T02:23:46Z,123511,15321,372,PT4M19S,2025-11-09T02:45:19.161674
Ox2MspbSk1E,Por que o céu é escuro? (Paradoxo de Olbers),2013-08-25T19:07:54Z,123310,10000,206,PT1M50S,2025-11-09T02:45:19.256294
JY3u2iya7C0,Você Está Contaminado Até Hoje Com Explosões Nucleares,2018-03-19T01:01:19Z,122328,21972,661,PT7M10S,2025-11-09T02:45:18.666101
l77iZI4coiQ,A Fenda Dupla e o Princípio de Huygens,2015-09-12T20:09:31Z,121242,15522,283,PT3M58S,2025-11-09T02:45:19.161549
7gTGbaw-oAA,Como Bitcoins Estão Mudando o Mundo,2018-11-21T16:29:13Z,114222,17319,941,PT11M52S,2025-11-09T02:45:18.433949
yCDGDhSfnds,Por que League of Legends não está nas Olimpíadas? #shorts,2022-11-01T20:00:28Z,113513,16786,250,PT58S,2025-11-09T02:45:16.197508
hV59Td41lIY,Nós seremos extintos?,2013-11-19T21:08:15Z,111546,10856,474,PT5M7S,2025-11-09T02:45:19.161716
wJ3N0hMv3RY,dá pra CARREGAR o CELULAR no MICROONDAS?,2023-02-15T20:00:21Z,109336,19117,161,PT58S,2025-11-09T02:45:15.680828
ArDquihGQbM,NOSSOS MAPAS ESTÃO ERRADOS?,2014-03-11T23:06:39Z,108120,14538,277,PT5M8S,2025-11-09T02:45:19.161690
QyWK4zV0bQs,as EXPLOSÕES MISTERIOSAS do UNIVERSO,2023-02-18T20:00:12Z,104974,19647,96,PT48S,2025-11-09T02:45:15.680810
FHNCdPvugr0,É Possível Ultrapassar a Velocidade da Luz em Casa com um Laser?,2014-05-16T23:11:19Z,101534,7892,173,PT1M57S,2025-11-09T02:45:19.161663
6f3yqvKX6xA,BRANCO = PRETO,2015-01-12T13:24:30Z,96907,13362,403,PT4M9S,2025-11-09T02:45:19.161588
qkdCgsM46CY,A Equação de Drake (e a Busca por Vida Extraterrestre),2014-11-17T02:20:04Z,96103,11069,294,PT7M54S,2025-11-09T02:45:19.161603
wx6655ZJT40,O Experimento de Lenz,2014-07-18T22:53:55Z,95532,9508,216,PT4M30S,2025-11-09T02:45:19.161631
uCjmNfhaG0A,Como Surgem os Sotaques?,2017-11-23T20:00:50Z,90374,14296,460,PT7M49S,2025-11-09T02:45:18.666145
vadKINm4xzQ,Por Que a Terra Está Perdendo a Sua Atmosfera?,2015-10-29T14:45:22Z,84282,11275,233,PT5M38S,2025-11-09T02:45:19.161516
yMNasaTnBPo,Por Que o Café nos Deixa Acordados?,2014-10-08T01:22:18Z,81487,9649,189,PT3M49S,2025-11-09T02:45:19.161609
Vw1LacgpLNk,Como uma TELA OLED funciona? #Shorts,2022-08-29T12:24:43Z,80650,11603,71,PT47S,2025-11-09T02:45:16.413246
QDxB6zDs9Ow,Por que choramos?,2013-07-29T18:24:02Z,78164,7494,162,PT2M58S,2025-11-09T02:45:19.256346
-oYD8H2uAU0,QUAL O TAMANHO MÁXIMO QUE UM CANUDINHO PODE TER?,2014-05-23T18:05:28Z,74183,7410,176,PT4M19S,2025-11-09T02:45:19.161658
iLUP-RR2Vv0,Por que os astronautas flutuam?,2013-09-29T00:18:21Z,70822,5186,122,PT2M30S,2025-11-09T02:45:19.161737
4N1Q_f-SjZQ,A MURALHA DO 'GAME OF THRONES' É CIENTIFICAMENTE POSSÍVEL?,2014-06-19T03:34:02Z,69462,6178,167,PT6M18S,2025-11-09T02:45:19.161642
ejN2_HIpkSQ,KEPLER 186F: ENCONTRAMOS OUTRA TERRA?,2014-04-18T04:57:01Z,66034,6424,167,PT2M43S,2025-11-09T02:45:19.161679
ytGdd87QlQQ,SinapseQUIZ 1ª Temporada - Trailer Oficial,2019-11-26T17:28:20Z,66028,12585,433,PT1M2S,2025-11-09T02:45:18.433701
2JyZLw0o5u4,OVERDOSE DE CHOCOLATE,2015-04-01T21:28:13Z,63306,7345,159,PT2M57S,2025-11-09T02:45:19.161576
nTM8-KP66Bo,O Experimento da Convecção,2015-07-20T19:06:38Z,61662,4926,77,PT2M48S,2025-11-09T02:45:19.161555
dhMt1Zalo6w,E Se o Papai Noel Fosse Real?,2015-12-23T21:03:59Z,60242,10261,652,PT4M49S,2025-11-09T02:45:19.161494
pHoOROA_Iso,A Terra está ficando mais leve?,2013-09-13T00:44:02Z,59375,6021,159,PT2M48S,2025-11-09T02:45:19.161748
FLjU4fhR-JE,8 Curiosidades Sobre a Internet | Hora do Código,2014-11-25T13:00:59Z,52552,4615,83,PT3M16S,2025-11-09T02:45:19.161598
MxtvNYTCSeE,Por Que a Missão Rosetta é Tão Importante?,2014-08-07T17:08:07Z,51628,4794,105,PT3M8S,2025-11-09T02:45:19.161626
8rGZAF-tig8,De Onde Surgiram Os Corpos?,2015-11-21T17:23:51Z,51627,9638,271,PT4M5S,2025-11-09T02:45:19.161500
T6KfX1BSxHc,Por que sentimos medo? - Edição de Halloween,2013-10-31T00:38:35Z,51597,4950,106,PT2M19S,2025-11-09T02:45:19.161721
ay37Kq51nY4,O Futuro do Ciência Todo Dia,2017-12-09T20:24:12Z,47735,8454,240,PT4M2S,2025-11-09T02:45:18.666137
friXER42w6I,ESPECIAL DE 300K,2018-05-02T14:00:11Z,47718,10362,1042,PT13M21S,2025-11-09T02:45:18.666068
jB-dgWZJyQo,Canibalismo,2013-08-04T23:22:36Z,44106,5111,147,PT3M9S,2025-11-09T02:45:19.256337
an_iomJoyRs,ESPECIAL DE NATAL,2017-12-26T00:58:42Z,41800,8842,648,PT13M37S,2025-11-09T02:45:18.666119
XulknYQRaHI,O Dia em que a Nossa História Queimou,2018-09-13T19:37:16Z,41039,8900,325,PT6M8S,2025-11-09T02:45:18.665972
tmAzRlYDfz4,Missão Europa Confirmada!,2015-06-22T20:27:47Z,37512,5811,130,PT2M46S,2025-11-09T02:45:19.161566
dUJLQ50iv-s,Quanto custa para levar um violão a bordo da ISS?,2013-07-26T20:37:03Z,35822,3786,39,PT1M54S,2025-11-09T02:45:19.256353
U5_nlXkJePk,Como Nós Sabemos que o Aquecimento Global é Causado por Humanos?,2014-06-16T01:55:32Z,35504,4043,379,PT5M53S,2025-11-09T02:45:19.161647
8O8ZMV3sAa0,Vida Descoberta em Lago Isolado da Antártida,2014-08-25T05:26:12Z,26350,3404,59,PT2M56S,2025-11-09T02:45:19.161620
rkoJWO6KICA,Ciência Todo Dia no YouTube EDU Academy!,2014-09-19T02:31:15Z,17034,1970,83,PT3M13S,2025-11-09T02:45:19.161615
3tqQ70kqmD8,Pedro Loos: Em Busca de uma Ciência ao Alcance de Todos (Campus Party 2015),2015-02-07T13:00:00Z,16842,2073,114,PT27M24S,2025-11-09T02:45:19.161582
dVAdguK7YK0,Transmissão ao vivo de Ciência Todo Dia,2018-07-14T17:47:26Z,0,1,0,P0D,2025-11-09T02:45:18.666011
